0 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: -\frac{1}{2} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/216.json
1 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: \begin{pmatrix} - 2 \\ -7 \\ 13 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/283.json
2 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: \frac{1}{72} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1002.json
3 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: (2,-1) | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/153.json
4 TYPE: Precalculus | LEVEL: 5 | OUTPUT: 1 | ANSWER: 50^\circ | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1092.json
5 TYPE: Precalculus | LEVEL: 1 | OUTPUT: -1 | ANSWER: \pi | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/493.json
6 TYPE: Precalculus | LEVEL: 5 | OUTPUT: \frac{1}{2} | ANSWER: \frac{\sqrt{10}}{5} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/331.json
7 TYPE: Precalculus | LEVEL: 2 | OUTPUT: \frac{1}{4} | ANSWER: 45^\circ | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/80.json
8 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \sqrt{2} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/977.json
9 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: 3, 11, 33 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1231.json
10 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: -\frac{4}{3} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/992.json
11 TYPE: Precalculus | LEVEL: 4 | OUTPUT: 2 | ANSWER: 6 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/483.json
